30.0
Point = 0
p0 1112548630.9862401 -2521448868.857369 1873334482.3106368
p1 109784769.03424975 -62257833.38274981 47884280.805481
p2 34781290193.9328 -83911848720.87955 52528150452.94961
p3 3014283300.027698 -38406641401.992966 -1577124703.3242652
p4 523252389478722.94 -1264797360082465.5 789972500045679.4
p5 716569798637441.4 -1.5202397636546188e+16 -979145074560727.2
p6 -1466378258.192555 3225271656.028048 -2265039213.9991775
p7 2931055315.8193183 -12318733335.002934 2342190028.2066073
p8 -76815326605.60014 1418997541048.82 63605041511.96703
p9 23087584034.51266 -395617800233.027 -17473015825.75862
p10 1891576514235128.5 -4.016633266101028e+16 -2577812059710839.0
p11 -523395232767194.06 1265141952404531.2 -790188510222464.5
p12 -650437966006.9368 -866083185826.7552 3570400095879.1475
p13 -1414493264.883987 -6534974523.478415 -3565915426.303901
p14 -36420272.58362798 148238702.45553362 -876592.1281940422
p15 -716345317370623.9 1.5196663618167052e+16 978689863393400.4
p16 359426405226.33496 -788830180980.2313 554899761982.3313
p17 2077020723.0079424 -25501560722.401245 9108000644.795273
p18 1174533149013.1858 -2124287930172.582 -620190038486.5995
p19 2761174142.1869774 -12239832258.053642 -1250695323.4678268
p20 -1355440935946.628 874594144392.7551 85735055316.25952
p21 36198243113.91144 780679264.9236447 70531324435.73212
p22 -29944889482.831448 634791900375.9196 40841213430.44156
p23 306575692974.79504 -1338409144451.587 -137384475540.84355
p24 998207129473.7776 -5514922218909.494 -4271068303979.67
p25 -33945253199.119076 -10594902190.192593 -71559979017.03497
p26 -192999438295.83707 3099421651520.746 487265579539.2846
p27 -1892019825072916.2 4.017571696859998e+16 2578418726086306.5
p28 75331716114.12779 -191031364049.28738 104672663480.9522
p29 -315973116218.2177 1384433064913.0103 147040137320.41852
30.0
Point = 5
p0 -37402510943940.62 214634344364454.5 -37248238479031.33
p1 -1.0334717811936612e+16 2.636890886312765e+16 -1.5685303375086744e+16
p2 -1.5707622973815888e+16 3.794172123811517e+16 -2.3741140121380956e+16
p3 -150058919299185.7 385281167735198.0 26968170249682.38
p4 2.1475050972552983e+19 -5.193460219812102e+19 3.2396094453956825e+19
p5 5.071504088982616e+17 -1.0760787773495988e+19 -6.929301180485398e+17
p6 -326731530084315.4 3863628384521731.0 -5263161319759.374
p7 -681365738698386.4 4264781833512883.0 488001144065525.8
p8 1242471627328817.5 -2910857899633546.0 1890326323752084.0
p9 -154624239789158.44 -4634352386583533.0 -1031755628034831.8
p10 3.5662845090984496e+22 -7.57248456002075e+23 -4.860647175442568e+22
p11 -3861556274397435.5 2.45477274078132e+16 -3508363339836716.5
p12 -5159355582880982.0 -1.1645792409724418e+16 2.906403408517273e+16
p13 -7.789351717963835e+16 1.6540099134825247e+18 1.0615339964549126e+17
p14 -1.3306117511492491e+17 2.830917827187927e+18 1.8037942003809747e+17
p15 -1.7606271220738118e+21 3.7375964407205928e+22 2.4010210818532736e+21
p16 -2.5713334699710164e+16 8.87215913418764e+16 -3.4451040502459164e+16
p17 -3345767600575299.0 6049066774745895.0 1757343516455809.2
p18 4039209224733857.0 -6630910806004964.0 -2258445530959887.5
p19 1.0041895294216995e+17 -1.9217508304893555e+18 -1.2397127261272368e+17
p20 -1.157109199253529e+16 3.398271136354645e+16 2401708260076019.5
p21 145131865727262.47 4862287403614059.0 1048721230622063.4
p22 1.1543759068827242e+16 -1.3561675161381414e+17 -3.6792348048840616e+16
p23 -92238698432778.73 4013556969972757.5 195903708681964.1
p24 -3241025729048734.0 6.922468010309874e+16 4348271021154026.5
p25 15948280351422.994 -273181094894268.47 -12566447661370.152
p26 -3.39022319175286e+22 7.198727905516263e+23 4.620547087777878e+22
p27 -8.034240057877976e+16 1.705771918740142e+18 1.0953653256215229e+17
p28 -2.90007559672827e+17 6.156810863713598e+18 3.969441134117488e+17
p29 -2.1423976689702117e+19 5.1827944790893765e+19 -3.2316109538384204e+19
30.0
Point = 6
p0 -5.167348803947983e+22 1.0963529494596059e+24 7.0300742310369465e+22
p1 -1.6992835012210006e+20 1.1049183834311693e+21 -1.670696401706057e+20
p2 3.9291640881807887e+18 -6.015393867946329e+19 -2.0455015670697708e+18
p3 1.9794769430189045e+20 -4.2027808907337794e+21 -2.6971017173132532e+20
p4 8.003826419020745e+28 -1.698562150704782e+30 -1.0893893929499786e+29
p5 3.6071998427327862e+22 -7.667660503640067e+23 -4.949906764129592e+22
p6 -1.8602901456560081e+22 2.728714116024439e+23 6.792906961732573e+21
p7 8.892796742848849e+22 -1.886135927212184e+24 -1.2085680593734647e+23
p8 -2.735407070554792e+22 7.045845504047117e+23 5.629722402717881e+22
p9 5.699113107346315e+24 -1.2101379562301595e+26 -7.767347364992758e+24
p10 1.6298973566493775e+26 -3.460848560085842e+27 -2.2214603254361817e+26
p11 -1.5180488791336894e+19 3.216286561690723e+20 2.039208115510033e+19
p12 -1.6275807114367162e+26 3.455929498042063e+27 2.2183028775787833e+26
p13 -3.609914203013677e+22 8.37829302579634e+23 5.37004142982144e+22
p14 -4.674930632353172e+22 9.9266081695481e+23 6.37128274142162e+22
p15 -3.273097343632536e+22 6.948342826664936e+23 4.464137844212627e+22
p16 4.412912377395165e+28 -9.370290352185389e+29 -6.014382819328147e+28
